Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
"Director - Insurance Sector Client Coverage, FIG Americas",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Director - Insurance Sector Client Coverage, FIG Americas",10400,25 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/director-insurance-sector-client-coverage-fig-americas_new-york
"Leveraged, Acquisition & TMT Finance Americas - Portfolio Management - Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Leveraged, Acquisition & TMT Finance Americas - Portfolio Management - Analyst",10400,25 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/leveraged-acquisition-tmt-finance-americas-portfolio-management-analyst_new-york
"Lead Auditor, Markets & Operations",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,25 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/lead-auditor-markets-operations_new-york
Head of Robotics Operations (USA),Inbolt,Real-time industrial robot guidance solutions with 3D vision and AI.,Permanent contract,Detroit,A few days at home,"Artificial Intelligence / Machine Learning, Connected Objects",45,25 days ago,https://www.welcometothejungle.com/en/companies/inbolt/jobs/head-of-robotics-operations-usa_detroit
"Managing Director, Short Hills",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Short Hills,,"Luxury, Selective Distribution",26494,,https://www.welcometothejungle.com/en/companies/hermes/jobs/managing-director-short-hills_short-hills_HERMS_2reQamj
Operations Tech I,LFB,"Biomédicaments pour maladies graves et rares, dérivés du plasma.",Permanent contract,Charlton,No remote work,Pharmaceutical / Biotech,2900,,https://www.welcometothejungle.com/en/companies/lfb/jobs/operations-tech-i_charlton
Program Support Manager,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/program-support-manager_grand-prairie_SED_e4yAxlQ
"US Analyst, RPC Counterparty Risk",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-rpc-counterparty-risk_new-york
"VP, Liquidity Reporting Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-liquidity-reporting-analyst_new-york
Youth Advocacy & Success Manager,Opal,Focus app to enhance presence and reduce distractions.,Permanent contract,New York,Fully-remote,"Mobile Apps, Software",24,,https://www.welcometothejungle.com/en/companies/opal/jobs/youth-advocacy-success-manager_new-york
Senior Accountant,Motul,Lubrifiants haute-performance pour moteurs et industrie.,Permanent contract,Cypress,No remote work,Automotive,750,,https://www.welcometothejungle.com/en/companies/motul/jobs/senior-accountant_cypress
Materials Coordinator M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Building / Public Works,,VINCI CONSTRUCTION,117000,,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/other-m-f_chicago
Mobile Service Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Mobile Service Performance Specialist,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_los-angeles
"Operations Staffing Manager, Louisville, KY",Gojob,Plateforme de service pour l'emploi avec technologies et IA.,,Louisville,No remote work,"Mobile Apps, SaaS / Cloud Services",240,,https://www.welcometothejungle.com/en/companies/gojob/jobs/operations-staffing-manager-louisville-ky_louisville
AI Scientist - Palo Alto,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/ai-scientist-palo-alto_palo-alto
Accounting & Financial Analyst,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/financial-analyst_grand-prairie
Head of Liquidity Reporting,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/head-of-liquidity-reporting_new-york
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_cleveland
Accounting Specialist,SAFRAN POWER UNITS,Solutions innovantes de conception et réparation en aéronautique.,Permanent contract,Grand Prairie,No remote work,,780,,https://www.welcometothejungle.com/en/companies/safran-power-units/jobs/accounting-manager_grand-prairie
Accounting & Finance Manager,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,Accounting & Finance Manager,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/accounting-finance-manager_grand-prairie
Operations Intern- Data Science,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Internship,Grand Prairie,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/operations-intern_grand-prairie_SED_kl5aKP3
"VP, CUSO Compliance Risk Assessment Officer",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-cuso-compliance-risk-assessment-officer_new-york_CAC_NyNeDl1
US Analyst - Counterparty and Credit Risk Monitoring Administrator,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-counterparty-and-credit-risk-monitoring-administrator_new-york
FP&A Manager,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,Fully-remote,"Software, Artificial Intelligence / Machine Learning",1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/fp-a-manager_new-york
Summer 2026 Intern - Corporate and Leveraged Finance,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,Summer 2026 Intern - Corporate and Leveraged Finance,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/summer-2026-intern-corporate-and-leveraged-finance_new-york
6 months Internship in Strategy & Data Science | New York,Ekimetrics,Solutions d'IA pour une performance business durable.,Internship,New York,A few days at home,"IT / Digital, Strategy",500,,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/internship-in-strategy-data-science-new-york_new-york
"Applied AI, Technical Lead - Forward Deployed AI Engineer",Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,New York,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/applied-ai-technical-lead-forward-deployed-ai-engineer-nyc_new-york
Lead Auditor - Regulatory Compliance,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/lead-auditor-regulatory-compliance_new-york_CAC_mgR0lyw
US Analyst - Risk and Permanent Control Financial Institutions,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-risk-and-permanent-control-financial-institutions_new-york
Quality Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,No remote work,,4400,,https://www.welcometothejungle.com/en/companies/socomec/jobs/quality-manager_suwanee
Operations Director,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",1828,,https://www.welcometothejungle.com/en/companies/kraken/jobs/director-org-design_new-york
Senior Client Implementation Lead - Operations,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",1828,,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-client-implementation-lead-operations_new-york
Assistant Manager,LFB,"Biomédicaments pour maladies graves et rares, dérivés du plasma.",Permanent contract,Anniston,No remote work,Pharmaceutical / Biotech,2900,,https://www.welcometothejungle.com/en/companies/lfb/jobs/assistant-manager_anniston
"Structured Finance, Transportation Group - Associate",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Structured Finance, Transportation Group - Associate",10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/structured-finance-transportation-group-associate_new-york
AI deployment architect - New York,MakiPeople,AI-powered agents that transform HR into a strategic powerhouse.,Permanent contract,New York,No remote work,"Software, SaaS / Cloud Services",50,2 months ago,https://www.welcometothejungle.com/en/companies/maki/jobs/ai-deployment-architect-new-york_new-york
Data Analyst,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 months ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/data-analyst_southfield_MI_bgD2Yoy
Plant Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Crystal Lake,,,4400,2 months ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/plant-manager_crystal-lake_SOCOM_rgmNyO
Program Manager,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,1 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/program-manager_irvine
Sales Intern,Cohabs,International coliving operator and investor based in Brussels.,Internship,New York,,Residential Real Estate,90,2 days ago,https://www.welcometothejungle.com/en/companies/cohabs/jobs/sales-intern_new-york_COHAB_pW4wJab
JLR Program Manager (Nationwide),MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/jlr-program-manager_southfield
VIE US - Sales & Ops Manager - Renewable Energy SaaS,SkyVisor,Solutions logicielles pour la maintenance prédictive des infrastructures énergétiques.,,"Dallas,",A few days at home,VIE US - Sales & Ops Manager - Renewable Energy SaaS,20,10 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/us-based-business-developer_paris
Senior Accounts Manager New York,Frenchfounders,Club de décideurs et dirigeants francophones pour l'intermédiation business.,Permanent contract,New York,,,65,22 days ago,https://www.welcometothejungle.com/en/companies/frenchfounders/jobs/senior-accounts-manager-new-york_new-york
"Sales Engineer, Private Networks - Chicago",Forsk,Logiciels de radio planning et d'optimisation des réseaux mobiles.,Permanent contract,A few days at home,A few days at home,Logiciels de radio planning et d'optimisation des réseaux mobiles.,150,,https://www.welcometothejungle.com/en/companies/forsk/jobs/sales-engineer-private-networks-chicago_chicago
Food Industry Ingredients Sourcing Manager,Hubcycle,Ingrédients végétaux upcyclés pour l'industrie agroalimentaire.,Permanent contract,,,Food Industry Ingredients Sourcing Manager,30,,https://www.welcometothejungle.com/en/companies/hubcycle/jobs/food-industry-ingredients-sourcing-manager_chicago
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,1 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_mahwah
Customer Experience Intern,Cohabs,International coliving operator and investor based in Brussels.,Internship,New York,No remote work,Residential Real Estate,90,2 days ago,https://www.welcometothejungle.com/en/companies/cohabs/jobs/customer-experience-intern_new-york_COHAB_ZqXAN4y
Field Consultant,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-consultant_southfield_MI_lGpy711
Solutions Leader,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Chesterton,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/solutions-leader_chester
Sales & Marketing Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Fountain Valley,,Sales & Marketing Specialist,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/wholesale-parts-coach_irvine
Litigation Support Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Temecula,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/litigation-support-specialist_temecula
Accessory Quality Engineer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/accessory-quality-engineer_irvine
Automotive Technical Advisor/Mechanic,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive Technical Advisor/Mechanic,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-consultant_irvine
Field Service Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-service-specialist_san-francisco
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Philadelphia,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fixed-operations-field-specialist_medford
US Enterprise Account Executive,Sifflet,Full Data Stack Observability platform for trusted data and decision-making.,Permanent contract,New York,Fully-remote,"Artificial Intelligence / Machine Learning, SaaS / Cloud Services",,2 days ago,https://www.welcometothejungle.com/en/companies/sifflet/jobs/us-enterprise-account-executive_new-york
Field Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Detroit,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_southfield_MI_1j573x
Technical Training Instructor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,6 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/technical-training-instructor_irvine_MI_V7y3DPk
Field Service Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tarzana,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,7 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-service-specialist_san-diego_MI_DMxOYeX
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Automotive Operations Specialist,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_southfield_MI_orVkWA
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Milwaukee,,Automotive Operations Specialist,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-operations-specialist_milwaukee
Ford Connected Services Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/ford-connected-services-trainer_san-francisco
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Albany,,Mobile Service Field Specialist,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_albany_MI_QRZKAQY
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,St Louis,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-tire-coach_st-louis
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield_MI_14qyPNO
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield
Central US Sales Director - Renewables SaaS,SkyVisor,Solutions logicielles pour la maintenance prédictive des infrastructures énergétiques.,Permanent contract,Dallas,A few days at home,Central US Sales Director - Renewables SaaS,20,12 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/regional-sales-director-midwest-usa-renewables-saas_dallas
Technical Training Instructor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,16 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/technical-training-instructor_irvine_MI_kAzPz6w
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Raleigh,,Mobile Service Field Specialist,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_charlotte_MI_2ZLRD7j
"Project Manager, Learning and Development",MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/project-manager-learning-and-development_irvine
Survey Party Chief M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,19 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/survey-party-chief-m-f_norfolk
Automotive Technical Advisor/Mechanic,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive Technical Advisor/Mechanic,420,26 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-technical-advisor-mechanic_san-francisco_MI_e39Y0k7
Sales Manager- Contracts,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,26 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/contract-sales-manager_irvine
Processor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/processor_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Washington,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_washington
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_cleveland
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Houston,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_houston
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Phoenix,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_phoenix
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Philadelphia,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_philadelphia
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Denver,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_denver
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Atlanta,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_atlanta
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_dallas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tampa,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_tampa
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Austin,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_austin
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Las Vegas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_las-vegas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Orlando,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mrqwARN
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/1_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mxjdgDe
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_63xWwA9
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield
Apprentice Technical Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,,Mahwah,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/apprentice-technical-trainer_mahwah
Operations and Payroll manager F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,VINCI CONSTRUCTION,117000,,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/operations-and-payroll-manager-f-h_boca-raton
Administrative specialist F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,VINCI CONSTRUCTION,117000,,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/administrative-specialist-f-h_boca-raton
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,New Haven,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-performance-manager_new-haven
Applications Engineer – Treatment Technologies,SUEZ,Gestion de l'eau et des déchets pour une transition écologique durable.,Permanent contract,,,"Environment / Sustainable Development, SocialTech / GreenTech",40000,2 months ago,https://www.welcometothejungle.com/en/companies/suez/jobs/applications-engineer-treatment-technologies_chicago
Vehicle Buyback Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Fountain Valley,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 months ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/vehicle-buyback-specialist_fountain-valley
"Procurement Manager, Contract Manufacturing",Prose,"Custom, made-to-order hair and skin products using a tech-driven approach.",Permanent contract,Brooklyn,No remote work,"Artificial Intelligence / Machine Learning, Cosmetics",306,1 days ago,https://www.welcometothejungle.com/en/companies/prose/jobs/procurement-manager-contract-manufacturing_brooklyn
Strategic Account Lead,Equativ,Advertising monetization platform for major websites.,Permanent contract,Los Angeles,A few days at home,,700,3 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/strategic-account-lead_los-angeles
Major Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Detroit,,"Software, IT / Digital",4600,3 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/major-account-executive_detroit
Enterprise Sales Leader,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,San Francisco,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,3 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/enterprise-sales-leader_san-francisco
Capital Markets IT/Electronic Trading Americas Lead,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,4 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/capital-markets-it-electronic-trading-americas-lead_new-york
Manager in Marketing Analytics & Data Science - New York,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,Manager in Marketing Analytics & Data Science - New York,500,5 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/manager-in-marketing-analytics-data-science-new-york_new-york
Key Account Manager- OEM Americas,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,5 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/key-account-manager-oem-americas_irvine
